transaction_id,pair_id
8858d156,118
176e0361,118
ba94960a,164
4073af1c,164
78225c5e,260
01a2f090,260
9fd5e36f,736
fc48e1a6,736
82876cb4,1179
d74d6f45,1179
69bc8135,1667
e5de5d35,1667
cc5c439e,1699
21ccbbf9,1699
eff3f557,1815
eafa9c4e,1815
2cc86b24,1834
538a069c,1834
ddce274d,1862
d6c7c6bf,1862
d167d310,1865
e53aea94,1865
4e838af3,1881
7e608a27,1881
a64ada87,1890
862cad3f,1890
ebd77c39,1898
c4246c13,1898
207e1188,1900
60bcab74,1900
0c1dc355,2024
46b9c562,2024
d6687c2b,2040
ba1cf1c2,2040
14bca76d,2050
066fa12a,2050
deaee33a,2251
0fe56516,2251
2863d248,2424
cc5eff4c,2424
6eb02c22,2787
94c7e227,2787
1987d9d4,3134
78c3db78,3134
00a96cf4,3313
ee615bb3,3313
d19c0f9f,3340
a48037ac,3340
66945d44,3397
016ec12b,3397
b4b35f43,1
b89e554b,1
f5c934a7,1857
d6c78930,1857
aacbe73b,1978
86f37174,1978
20f589d7,3312
b2701ea3,3312
